iter	Logloss
0	0.5438010154
1	0.4606039706
2	0.4123847634
3	0.3754531807
4	0.351799569
5	0.3350356177
6	0.3219657045
7	0.3103619194
8	0.3036278876
9	0.2992439029
10	0.295068642
11	0.29002695
12	0.2864928259
13	0.2837036143
14	0.2800270252
15	0.2781248521
16	0.2759896718
17	0.2745351098
18	0.2729357433
19	0.2709395645
20	0.2691829484
21	0.2673546685
22	0.2653474647
23	0.2640084895
24	0.2627709122
25	0.2618538317
26	0.2609002691
27	0.2602918863
28	0.2587677317
29	0.2576564942
30	0.2572350709
31	0.2560933219
32	0.255779358
33	0.2551467059
34	0.2543849717
35	0.2535104919
36	0.2528954473
37	0.2522467194
38	0.2511969261
39	0.2505563659
40	0.2501591994
41	0.2494690489
42	0.2488816341
43	0.2482029213
44	0.2476576668
45	0.2471790375
46	0.2465313572
47	0.2459862128
48	0.2452404411
49	0.2449739479
50	0.2448935732
51	0.2443380989
52	0.2440267238
53	0.2435206535
54	0.2430411137
55	0.2428948801
56	0.242453441
57	0.2414628624
58	0.2406193582
59	0.2401736573
60	0.2396584918
61	0.2389322064
62	0.2378852327
63	0.2372388131
64	0.2367139548
65	0.2364095578
66	0.2354723018
67	0.2346756537
68	0.2344093657
69	0.233419622
70	0.2331368483
71	0.2322191841
72	0.2314402792
73	0.230486089
74	0.2298763065
75	0.2291996275
76	0.2286467509
77	0.228304486
78	0.2273425561
79	0.2265474751
80	0.2258107933
81	0.2248521981
82	0.2243952191
83	0.2237286461
84	0.2230712956
85	0.2227511636
86	0.2224741035
87	0.2215285872
88	0.2207196408
89	0.2200790364
90	0.2192840024
91	0.2189700395
92	0.2176141859
93	0.2169199573
94	0.2166732108
95	0.2160535624
96	0.2152412542
97	0.2143477602
98	0.2142177054
99	0.2137503879
100	0.2132291558
101	0.2128466303
102	0.212774552
103	0.212221641
104	0.2114526424
105	0.2112915004
106	0.2108734268
107	0.2102079555
108	0.2097439361
109	0.2094347131
110	0.2090052447
111	0.20844747
112	0.2079879136
113	0.2075451152
114	0.206915196
115	0.2063181558
116	0.2059544433
117	0.2056464183
118	0.2052866304
119	0.2047943171
120	0.2047046307
121	0.203952609
122	0.2032754364
123	0.2027679614
124	0.2024431845
125	0.2021790744
126	0.2018410311
127	0.2014747759
128	0.2011017063
129	0.200836441
130	0.2001647249
131	0.1998666592
132	0.1991320286
133	0.198325742
134	0.1978538958
135	0.1973569158
136	0.197085135
137	0.1966855239
138	0.1960868335
139	0.1954825598
140	0.19510236
141	0.1946377959
142	0.1940082039
143	0.1935304112
144	0.1930946127
145	0.1928009378
146	0.1924467914
147	0.1918836911
