iter	MultiClass
0	0.9009757567
1	0.6867103746
2	0.5477375537
3	0.4489417188
4	0.3764039211
5	0.3200849394
6	0.2771669246
7	0.2400835061
8	0.2108676139
9	0.187472783
10	0.1682983329
11	0.1514946048
12	0.138105331
13	0.1272520839
14	0.1186638558
15	0.1111458904
16	0.1041055466
17	0.09906778044
18	0.09483547387
19	0.09003295596
20	0.08698557313
21	0.0844032961
22	0.08130109716
23	0.07942725982
24	0.07718026968
25	0.0758320014
26	0.07458481305
27	0.0729743316
28	0.07169363045
29	0.0709408344
30	0.0702442951
31	0.06985614395
32	0.06927246663
33	0.06878781881
34	0.06818452273
35	0.06781208862
36	0.0674962825
37	0.06706541838
38	0.06681956097
39	0.06662034129
40	0.06631792091
41	0.0661918924
42	0.06593953741
43	0.06581837446
44	0.06575661708
45	0.06559379201
46	0.06553863639
47	0.0654978734
48	0.0654112114
49	0.0653126659
50	0.06528084344
51	0.06518168937
52	0.06500361273
53	0.06482405312
54	0.06467325622
55	0.06465787436
