iter	MultiClass
0	0.9087538381
1	0.7002934019
2	0.5628698091
3	0.4641080306
4	0.390951961
5	0.3337079897
6	0.2897337917
7	0.2520575322
8	0.2220204462
9	0.1973399154
10	0.1769377097
11	0.1599502291
12	0.1458366267
13	0.1335827722
14	0.123769722
15	0.1158448549
16	0.1088593217
17	0.1023844926
18	0.09769854405
19	0.09386575149
20	0.09059584633
21	0.08670918633
22	0.08418022673
23	0.08159750712
24	0.07979316487
25	0.07743399749
26	0.07616240354
27	0.07440367233
28	0.07332937316
29	0.07241968548
30	0.07174744549
31	0.07066567178
32	0.07012334189
33	0.06922529091
34	0.0688454735
35	0.06845276164
36	0.06785638699
37	0.06758826565
38	0.06729710683
39	0.06704460519
40	0.06659304504
41	0.06627569196
42	0.0661580893
43	0.06606750059
44	0.06572659851
45	0.06562458501
46	0.06546114031
47	0.06541666313
48	0.06537618013
49	0.065361451
50	0.06529449866
51	0.06521577456
52	0.06515319453
53	0.06503170396
