iter	MultiClass
0	0.63701985
1	0.3076586766
2	0.1941192858
3	0.1366780834
4	0.1072876918
5	0.09046941646
6	0.08021593817
7	0.0737361048
8	0.07033585198
9	0.06800301031
10	0.06673563018
11	0.06602924714
12	0.06552685865
13	0.06489873289
14	0.06470798709
15	0.06452349519
16	0.06431374474
17	0.06411731045
18	0.06358071762
19	0.06339869725
20	0.06328399907
21	0.0631752683
22	0.06315966186
23	0.06295025505
24	0.06282309687
25	0.06267987371
26	0.06240835345
27	0.06240142434
28	0.06234813862
29	0.06232315578
30	0.06222951785
31	0.06209996048
32	0.06194274018
33	0.06185029019
34	0.06177260644
35	0.06166419576
36	0.0616595671
37	0.06159858065
38	0.06153666133
39	0.06152970658
40	0.06143771118
41	0.06137824007
42	0.06130609531
43	0.06127281326
44	0.06123695148
45	0.06113588309
46	0.060924929
47	0.06077659997
48	0.060770858
49	0.06069294272
50	0.06062446224
51	0.06056847442
52	0.06052415119
53	0.06044356203
54	0.06038886046
55	0.06032537787
56	0.06028007672
57	0.06023603542
58	0.06015703387
59	0.06014003712
60	0.06012368149
61	0.06000228894
62	0.05995235514
63	0.05991974009
64	0.05987350956
65	0.05983146424
66	0.05979336826
67	0.05975676026
68	0.05956910343
69	0.05953980998
70	0.05944821108
71	0.05936862451
72	0.05932649828
73	0.05928082313
74	0.05917746705
75	0.05914213224
76	0.05911555176
77	0.05909039349
78	0.05904582569
79	0.05901668856
80	0.05894686629
81	0.05891959555
82	0.05886620088
83	0.05886272065
84	0.05873607515
85	0.05871656651
86	0.05868334131
87	0.05864944611
88	0.05860546625
89	0.05860022772
90	0.05856435128
91	0.0585216926
92	0.05842607047
93	0.05839260763
94	0.05835926735
95	0.05832764787
96	0.0583007711
97	0.05828911541
98	0.05825673948
99	0.05824842914
